# number	slug	title	focus
0	continuous-bug-mining	Continuous evidence-first bug mining	Rotate current diff, history, tests, fuzzing, sanitizers, static analysis, coverage, performance, platform, and external evidence to find and prove distinct defects.
1	comment-code-contract	Source comment versus implementation contract audit	Compare nontrivial comments with code, callers, tests, docs, blame, and historical rationale; correct only a proven stale contract or implementation.
2	assertion-invariant-audit	Assertion, Assume, and invariant reachability audit	Trace assertions and assumptions through release, fuzz, RPC, network, persisted-data, and optional-module paths; prove invalid assumptions or missing validation.
3	current-pr-leftovers	Current branch and PR leftover sweep	Search each current commit for analogous sites, stale names, partial migrations, omitted tests, generated files, build lists, and unresolved review objections.
4	public-interface-contracts	Public API, CLI, RPC, config, and help contract audit	Compare registration, parsing, types, defaults, help, errors, runtime behavior, persistence, restart behavior, docs, tests, and compatibility.
5	boundary-off-by-one	Boundary-condition and off-by-one audit	Formalize domains and test below, at, and above boundaries for heights, times, amounts, counts, offsets, limits, encodings, and iterator ranges.
6	serialization-untrusted-input	Serialization, deserialization, and untrusted-input sweep	Trace untrusted bytes through lengths, allocations, casts, loops, mutation, canonical encodings, output state, and later assumptions.
7	resource-exhaustion-variants	Untrusted-interface resource-exhaustion variant analysis	Mine DoS shapes and calculate explicit CPU, memory, disk, network, descriptor, queue, retry, and retained-state bounds for realistic inputs.
8	locking-threading	Locking, threading, and scheduler audit	Map locks, atomics, condition variables, callbacks, worker shutdown, lifetimes, lock order, and deterministic race schedules; prove first conflicting accesses.
9	hit-frequency-coverage	Hit-frequency and suspicious-branch coverage audit	Rank rarely executed branches by security, state mutation, complexity, error handling, persistence, secret handling, and untrusted-input proximity.
10	fuzz-target-gaps	Fuzz-target gap and harness-realism audit	Compare production entry points with fuzz reachability, dynamic coverage, state realism, error handling, and oracle quality; add deterministic high-value harness coverage.
11	sanitizer-valgrind	Sanitizer and Valgrind true-positive sweep	Run ASan, UBSan, TSan, MSan, LeakSanitizer, Valgrind, and sanitized fuzz/recovery workloads; minimize first invalid operations and reject broad suppressions.
12	static-analysis-true-positives	Static-analysis true-positive campaign	Use compiler warnings, clang analysis, clang-tidy, CodeQL or Semgrep, IWYU, and semantic queries to prove lifetime, overflow, result, lock, and control-flow defects.
13	secret-lifetime-zeroization	Secret-data lifetime and zeroization audit	Trace private keys, nonces, seeds, tweaks, passphrases, and secret-derived temporaries through copies, moves, errors, callbacks, logs, destructors, and optimized clearing.
14	secret-control-flow	Secret-dependent control-flow and memory-access audit	Trace secret taint into branches, loop counts, indexes, addresses, helper choices, error paths, compiler output, ctgrind, dudect, and explicit declassification boundaries.
15	public-object-validation	Public object parsing and validation variant analysis	Compare all equivalent parsing paths for keys, signatures, scalars, scripts, descriptors, records, addresses, and wrappers across malformed and noncanonical inputs.
16	api-misuse-resistance	Public API misuse-resistance audit	Read headers, examples, bindings, tests, and implementation as an adversarial caller; test ownership, lifetime, capability, callbacks, invalidation, status, and failure outputs.
17	build-matrix-modules	Build-matrix and module-configuration audit	Enumerate compilers, features, wallets, IPC, GUI, tools, fuzz, assembly, exhaustive, shared/static, cross, and sanitizer configurations and their interactions.
18	exhaustive-algebraic	Exhaustive and algebraic-invariant audit	State identities for parsing, arithmetic, normalization, signing, storage, iteration, cache recomputation, and recovery; test exhaustive small domains and randomized properties.
19	benchmark-integrity	Benchmark correctness and measurement-integrity audit	Audit benchmark setup, timed regions, units, inputs, caches, I/O, compiler-elision barriers, result validation, repetitions, noise, and profile attribution.
20	micro-optimization	Simple micro-optimization discovery and proof	Use profiles to select one narrow hot operation, then prove a simple allocation, copy, lookup, hashing, branch, serialization, or lock improvement with interleaved measurements.
